work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_size,salary_binned
2024,SE,FT,Data Engineer,229900,US,0,M,2
2024,SE,FT,Data Engineer,201400,US,0,M,1
2024,SE,FT,Data Scientist,247250,US,0,M,2
2024,SE,FT,Data Scientist,160000,US,0,M,1
2024,SE,FT,Data Scientist,177700,US,0,M,1
2024,SE,FT,Data Scientist,94700,US,0,M,0
2024,SE,FT,Data Engineer,184000,US,0,M,1
2024,SE,FT,Data Engineer,123000,US,0,M,0
2024,SE,FT,Machine Learning Engineer,258600,US,100,M,2
2024,SE,FT,Machine Learning Engineer,215500,US,100,M,1
2024,SE,FT,Data Scientist,237188,US,100,M,2
2024,SE,FT,Data Scientist,194063,US,100,M,1
2024,MI,FT,Other,112500,US,100,M,0
2024,MI,FT,Other,59500,US,100,M,0
2024,SE,FT,Data Analyst,153900,US,0,M,1
2024,SE,FT,Data Analyst,85500,US,0,M,0
2024,SE,FT,Other,210000,US,0,M,1
2024,SE,FT,Other,151800,US,0,M,1
2024,SE,FT,Other,108500,US,100,M,0
2024,SE,FT,Other,78800,US,100,M,0
2024,MI,FT,Data Scientist,212000,US,0,M,1
2024,MI,FT,Data Scientist,93300,US,0,M,0
2024,MI,FT,Data Engineer,209000,US,0,M,1
2024,MI,FT,Data Engineer,171000,US,0,M,1
2024,SE,FT,Data Analyst,164000,US,0,M,1
2024,SE,FT,Data Analyst,109000,US,0,M,0
2024,SE,FT,Data Analyst,140000,US,0,M,1
2024,SE,FT,Data Analyst,115000,US,0,M,0
2024,EN,FT,Data Analyst,83300,US,0,M,0
2024,EN,FT,Data Analyst,47500,US,0,M,0
2024,MI,FT,Other,156450,US,0,M,1
2024,MI,FT,Other,119200,US,0,M,0
2024,SE,FT,Data Scientist,161500,US,0,M,1
2024,SE,FT,Data Scientist,113050,US,0,M,0
2024,EN,FT,Data Engineer,130916,US,0,M,0
2024,EN,FT,Data Engineer,120000,US,0,M,0
2024,MI,FT,Data Scientist,260000,US,0,M,2
2024,MI,FT,Data Scientist,198000,US,0,M,1
2024,MI,FT,Data Engineer,235000,US,0,M,2
2024,MI,FT,Data Engineer,170000,US,0,M,1
2024,SE,FT,Data Scientist,185900,US,0,M,1
2024,SE,FT,Data Scientist,109400,US,0,M,0
2024,SE,FT,Machine Learning Engineer,210000,US,0,M,1
2024,SE,FT,Machine Learning Engineer,180000,US,0,M,1
2024,SE,FT,Data Engineer,180000,US,0,M,1
2024,SE,FT,Data Engineer,110000,US,0,M,0
2024,SE,FT,Data Engineer,185000,US,100,M,1
2024,SE,FT,Data Engineer,148000,US,100,M,1
2024,SE,FT,Data Scientist,180000,US,0,M,1
2024,SE,FT,Data Scientist,110000,US,0,M,0
2024,MI,FT,Machine Learning Engineer,235680,US,0,M,2
2024,MI,FT,Machine Learning Engineer,153040,US,0,M,1
2024,SE,FT,Data Engineer,145000,US,0,M,1
2024,SE,FT,Data Engineer,106500,US,0,M,0
2024,SE,FT,Other,290000,US,0,M,2
2024,SE,FT,Other,240000,US,0,M,2
2024,SE,FT,Data Analyst,185000,US,0,M,1
2024,SE,FT,Data Analyst,145000,US,0,M,1
2024,SE,FT,Other,150000,US,100,M,1
2024,SE,FT,Other,123000,US,100,M,0
2024,SE,FT,Machine Learning Engineer,270400,US,0,M,2
2024,SE,FT,Machine Learning Engineer,145600,US,0,M,1
2024,MI,FT,Data Analyst,177000,US,100,M,1
2024,MI,FT,Data Analyst,149000,US,100,M,1
